MSC;Root;MSC;(msc=0? or msc=1? or msc=2? or msc=3? or msc=4? or msc=5? or msc=6? or msc=7? or msc=8? or msc=9?)
47B35;47BXX;Toeplitz operators, Hankel operators, Wiener-Hopf operators;msc=47B35
47B36;47BXX;Jacobi (tridiagonal) operators (matrices) and generalizations;msc=47B36
47B37;47BXX;Operators on special spaces (weighted shifts, operators on sequence spaces, etc.);msc=47B37
47B38;47BXX;Operators on function spaces (general);msc=47B38
47B39;47BXX;Difference operators;msc=47B39
47B40;47BXX;Spectral operators, decomposable operators, well-bounded operators, etc.;msc=47B40
47B44;47BXX;Accretive operators, dissipative operators, etc.;msc=47B44
47B47;47BXX;Commutators, derivations, elementary operators, etc.;msc=47B47
47B48;47BXX;Operators on Banach algebras;msc=47B48
47B49;47BXX;Transformers (= operators on spaces of operators);msc=47B49
47B50;47BXX;Operators on spaces with an indefinite metric;msc=47B50
47B60;47BXX;Operators on ordered spaces;msc=47B60
47B65;47BXX;Positive operators and order-bounded operators;msc=47B65
47B80;47BXX;Random operators;msc=47B80
47B99;47BXX;None of the above, but in this section;msc=47B99
47CXX;47-XX;Individual linear operators as elements of algebraic systems;msc=47C?
47C05;47CXX;Operators in algebras;msc=47C05
47C10;47CXX;Operators in *-algebras;msc=47C10
47C15;47CXX;Operators in C*- or von Neumann algebras;msc=47C15
47C99;47CXX;None of the above, but in this section;msc=47C99
47DXX;47-XX;Groups and semigroups of linear operators, their generalizations and applications;msc=47D?
47D03;47DXX;Groups and semigroups of linear operators;msc=47D03
47D06;47DXX;One-parameter semigroups and linear evolution equations;msc=47D06
47D07;47DXX;Markov semigroups and applications to diffusion processes;msc=47D07
47D08;47DXX;Schrödinger and Feynman-Kac semigroups;msc=47D08
47D09;47DXX;Operator sine and cosine functions and higher-order Cauchy problems;msc=47D09
47D60;47DXX;C-semigroups;msc=47D60
47D62;47DXX;Integrated semigroups;msc=47D62
47D99;47DXX;None of the above, but in this section;msc=47D99
47E05;47-XX;Ordinary differential operators;msc=47E05
47F05;47-XX;Partial differential operators;msc=47F05
47GXX;47-XX;Integral, integro-differential, and pseudodifferential operators;msc=47G?
47G10;47GXX;Integral operators;msc=47G10
47G20;47GXX;Integro-differential operators;msc=47G20
47G30;47GXX;Pseudodifferential operators;msc=47G30
47G99;47GXX;None of the above, but in this section;msc=47G99
47HXX;47-XX;Nonlinear operators and their properties;msc=47H?
47H04;47HXX;Set-valued operators;msc=47H04
47H05;47HXX;Monotone operators (with respect to duality);msc=47H05
47H06;47HXX;Accretive operators, dissipative operators, etc.;msc=47H06
47H07;47HXX;Monotone and positive operators on ordered Banach spaces or other ordered topological vector spaces;msc=47H07
47H09;47HXX;Nonexpansive mappings, and their generalizations (ultimately compact mappings, measures of noncompactness and condensing mappings, A-proper mappings, K-set contractions, etc.);msc=47H09
47H10;47HXX;Fixed-point theorems;msc=47H10
47H11;47HXX;Degree theory;msc=47H11
47H14;47HXX;Perturbations of nonlinear operators;msc=47H14
47H20;47HXX;Semigroups of nonlinear operators;msc=47H20
47H30;47HXX;Particular nonlinear operators (superposition, Hammerstein, Nemytskii, Uryson, etc.);msc=47H30
47H40;47HXX;Random operators;msc=47H40
47H50;47HXX;Potential operators;msc=47H50
47H60;47HXX;Multilinear and polynomial operators;msc=47H60
47H99;47HXX;None of the above, but in this section;msc=47H99
47JXX;47-XX;Equations and inequalities involving nonlinear operators;msc=47J?
47J05;47JXX;Equations involving nonlinear operators (general);msc=47J05
47J06;47JXX;Nonlinear ill-posed problems;msc=47J06
47J07;47JXX;Abstract inverse mapping and implicit function theorems;msc=47J07
47J10;47JXX;Nonlinear eigenvalue problems;msc=47J10
47J15;47JXX;Abstract bifurcation theory;msc=47J15
47J20;47JXX;Variational and other types of inequalities involving nonlinear operators (general);msc=47J20
47J25;47JXX;Methods for solving nonlinear operator equations (general);msc=47J25
47J30;47JXX;Variational methods;msc=47J30
47J35;47JXX;Nonlinear evolution equations;msc=47J35
47J40;47JXX;Equations with hysteresis operators;msc=47J40
47J99;47JXX;None of the above, but in this section;msc=47J99
47LXX;47-XX;Linear spaces and algebras of operators;msc=47L?
47L05;47LXX;Linear spaces of operators;msc=47L05
47L07;47LXX;Convex sets and cones of operators;msc=47L07
47L10;47LXX;Algebras of operators on Banach spaces and other topological linear spaces;msc=47L10
47L15;47LXX;Operator algebras with symbol structure;msc=47L15
47L20;47LXX;Operator ideals;msc=47L20
47L25;47LXX;Operator spaces (= matricially normed spaces);msc=47L25
47L30;47LXX;Abstract operator algebras on Hilbert spaces;msc=47L30
47L35;47LXX;Nest algebras, CSL algebras;msc=47L35
47L40;47LXX;Limit algebras, subalgebras of C*-algebras;msc=47L40
47L45;47LXX;"Dual algebras; weakly closed singly generated operator algebras";msc=47L45
47L50;47LXX;Dual spaces of operator algebras;msc=47L50
47L55;47LXX;Representations of (nonselfadjoint) operator algebras;msc=47L55
47L60;47LXX;"Algebras of unbounded operators; partial algebras of operators";msc=47L60
47L65;47LXX;Crossed product algebras (analytic crossed products);msc=47L65
47L70;47LXX;Nonassociative nonselfadjoint operator algebras;msc=47L70
47L75;47LXX;Other nonselfadjoint operator algebras;msc=47L75
47L80;47LXX;Algebras of specific types of operators (Toeplitz, integral, pseudodifferential, etc.);msc=47L80
47L90;47LXX;Applications of operator algebras to physics;msc=47L90
47L99;47LXX;None of the above, but in this section;msc=47L99
47NXX;47-XX;Miscellaneous applications of operator theory;msc=47N?
47N10;47NXX;Applications in optimization, convex analysis, mathematical programming, economics;msc=47N10
47N20;47NXX;Applications to differential and integral equations;msc=47N20
47N30;47NXX;Applications in probability theory and statistics;msc=47N30
47N40;47NXX;Applications in numerical analysis;msc=47N40
47N50;47NXX;Applications in quantum physics;msc=47N50
47N55;47NXX;Applications in statistical physics;msc=47N55
47N60;47NXX;Applications in biology and other sciences;msc=47N60
47N70;47NXX;Applications in systems theory, circuits, etc.;msc=47N70
47N99;47NXX;None of the above, but in this section;msc=47N99
47SXX;47-XX;Other (nonclassical) types of operator theory;msc=47S?
47S10;47SXX;"Operator theory over fields other than R, C or the quaternions; non-Archimedean operator theory";msc=47S10
47S20;47SXX;Nonstandard operator theory;msc=47S20
47S30;47SXX;Constructive operator theory;msc=47S30
47S40;47SXX;Fuzzy operator theory;msc=47S40
47S50;47SXX;Operator theory in probabilistic metric linear spaces;msc=47S50
47S99;47SXX;None of the above, but in this section;msc=47S99
49-XX;26XXX;"Calculus of variations and optimal control; optimization";msc=49?
49-00;49-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=49-00
49-01;49-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=49-01
49-02;49-XX;Research exposition (monographs, survey articles);msc=49-02
49-03;49-XX;Historical;msc=49-03
49-04;49-XX;Explicit machine computation and programs;msc=49-04
49-06;49-XX;Proceedings, conferences, collections, etc.;msc=49-06
49JXX;49-XX;Existence theories;msc=49J?
49J05;49JXX;Free problems in one independent variable;msc=49J05
49J10;49JXX;Free problems in two or more independent variables;msc=49J10
49J15;49JXX;Optimal control problems involving ordinary differential equations;msc=49J15
49J20;49JXX;Optimal control problems involving partial differential equations;msc=49J20
49J22;49JXX;Optimal control problems involving integral equations;msc=49J22
49J24;49JXX;Optimal control problems involving differential inclusions;msc=49J24
49J25;49JXX;Optimal control problems involving equations with retarded arguments;msc=49J25
49J27;49JXX;Problems in abstract spaces;msc=49J27
49J30;49JXX;Optimal solutions belonging to restricted classes (Lipschitz controls, bang-bang controls, etc.);msc=49J30
49J35;49JXX;Minimax problems;msc=49J35
49J40;49JXX;Variational methods including variational inequalities;msc=49J40
49J45;49JXX;"Methods involving semicontinuity and convergence; relaxation";msc=49J45
49J50;49JXX;Fréchet and Gateaux differentiability;msc=49J50
49J52;49JXX;Nonsmooth analysis;msc=49J52
49J53;49JXX;Set-valued and variational analysis;msc=49J53
49J55;49JXX;Problems involving randomness;msc=49J55
49J99;49JXX;None of the above, but in this section;msc=49J99
49KXX;49-XX;Necessary conditions and sufficient conditions for optimality;msc=49K?
49K05;49KXX;Free problems in one independent variable;msc=49K05
49K10;49KXX;Free problems in two or more independent variables;msc=49K10
49K15;49KXX;Problems involving ordinary differential equations;msc=49K15
49K20;49KXX;Problems involving partial differential equations;msc=49K20
49K22;49KXX;Problems involving integral equations;msc=49K22
49K24;49KXX;Problems involving differential inclusions;msc=49K24
49K25;49KXX;Problems involving equations with retarded arguments;msc=49K25
49K27;49KXX;Problems in abstract spaces;msc=49K27
49K30;49KXX;Optimal solutions belonging to restricted classes;msc=49K30
49K35;49KXX;Minimax problems;msc=49K35
49K40;49KXX;Sensitivity, stability, well-posedness;msc=49K40
49K45;49KXX;Problems involving randomness;msc=49K45
49K99;49KXX;None of the above, but in this section;msc=49K99
49LXX;49-XX;Hamilton-Jacobi theories, including dynamic programming;msc=49L?
49L20;49LXX;Dynamic programming method;msc=49L20
49L25;49LXX;Viscosity solutions;msc=49L25
49L99;49LXX;None of the above, but in this section;msc=49L99
49MXX;49-XX;Methods of successive approximations;msc=49M?
49M05;49MXX;Methods based on necessary conditions;msc=49M05
49M15;49MXX;Methods of Newton-Raphson, Galerkin and Ritz types;msc=49M15
49M20;49MXX;Methods of relaxation type;msc=49M20
49M25;49MXX;Discrete approximations;msc=49M25
49M27;49MXX;Decomposition methods;msc=49M27
49M29;49MXX;Methods involving duality;msc=49M29
49M30;49MXX;Other methods, not based on necessary conditions (penalty function, etc.);msc=49M30
49M37;49MXX;Methods of nonlinear programming type;msc=49M37
49M99;49MXX;None of the above, but in this section;msc=49M99
49NXX;49-XX;Miscellaneous topics;msc=49N?
49N05;49NXX;Linear optimal control problems;msc=49N05
49N10;49NXX;Linear-quadratic problems;msc=49N10
49N15;49NXX;Duality theory;msc=49N15
49N20;49NXX;Periodic optimization;msc=49N20
49N25;49NXX;Impulsive optimal control problems;msc=49N25
49N30;49NXX;Problems with incomplete information;msc=49N30
49N35;49NXX;Optimal feedback synthesis;msc=49N35
49N45;49NXX;Inverse problems;msc=49N45
49N60;49NXX;Regularity of solutions;msc=49N60
49N70;49NXX;Differential games;msc=49N70
49N75;49NXX;Pursuit and evasion games;msc=49N75
49N90;49NXX;Applications of optimal control and differential games;msc=49N90
49N99;49NXX;None of the above, but in this section;msc=49N99
49QXX;49-XX;Manifolds;msc=49Q?
49Q05;49QXX;Minimal surfaces;msc=49Q05
49Q10;49QXX;Optimization of shapes other than minimal surfaces;msc=49Q10
49Q12;49QXX;Sensitivity analysis;msc=49Q12
49Q15;49QXX;Geometric measure and integration theory, integral and normal currents;msc=49Q15
49Q20;49QXX;Variational problems in a geometric measure-theoretic setting;msc=49Q20
49Q99;49QXX;None of the above, but in this section;msc=49Q99
49R50;49-XX;Variational methods for eigenvalues of operators;msc=49R50
49S05;49-XX;Variational principles of physics;msc=49S05
;;;
;;;
5XXXX;MSC;Geometry_and_Topology;msc=5?
51-XX;5XXXX;Geometry;msc=51?
51-00;51-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=51-00
51-01;51-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=51-01
51-02;51-XX;Research exposition (monographs, survey articles);msc=51-02
51-03;51-XX;Historical;msc=51-03
51-04;51-XX;Explicit machine computation and programs;msc=51-04
51-06;51-XX;Proceedings, conferences, collections, etc.;msc=51-06
51AXX;51-XX;Linear incidence geometry;msc=51A?
51A05;51AXX;General theory and projective geometries;msc=51A05
51A10;51AXX;Homomorphism, automorphism and dualities;msc=51A10
51A15;51AXX;Structures with parallelism;msc=51A15
51A20;51AXX;Configuration theorems;msc=51A20
51A25;51AXX;Algebraization;msc=51A25
51A30;51AXX;Desarguesian and Pappian geometries;msc=51A30
51A35;51AXX;Non-Desarguesian affine and projective planes;msc=51A35
51A40;51AXX;Translation planes and spreads;msc=51A40
51A45;51AXX;Incidence structures imbeddable into projective geometries;msc=51A45
51A50;51AXX;Polar geometry, symplectic spaces, orthogonal spaces;msc=51A50
51A99;51AXX;None of the above, but in this section;msc=51A99
51BXX;51-XX;Nonlinear incidence geometry;msc=51B?
51B05;51BXX;General theory;msc=51B05
51B10;51BXX;Möbius geometries;msc=51B10
51B15;51BXX;Laguerre geometries;msc=51B15
51B20;51BXX;Minkowski geometries;msc=51B20
51B25;51BXX;Lie geometries;msc=51B25
51B99;51BXX;None of the above, but in this section;msc=51B99
51C05;51-XX;Ring geometry (Hjelmslev, Barbilian, etc.);msc=51C05
51D00;51-XX;Geometric closure systems;msc=51D00
51D05;51D00;Abstract (Maeda) geometries;msc=51D05
51D10;51D00;Abstract geometries with exchange axiom;msc=51D10
51D15;51D00;Abstract geometries with parallelism;msc=51D15
51D20;51D00;Combinatorial geometries;msc=51D20
51D25;51D00;Lattices of subspaces;msc=51D25
51D30;51D00;Continuous geometries and related topics;msc=51D30
51D99;51D00;None of the above, but in this section;msc=51D99
51EXX;51-XX;Finite geometry and special incidence structures;msc=51E?
51E05;51EXX;General block designs;msc=51E05
51E10;51EXX;Steiner systems;msc=51E10
51E12;51EXX;Generalized quadrangles, generalized polygons;msc=51E12
51E14;51EXX;Finite partial geometries (general), nets, partial spreads;msc=51E14
51E15;51EXX;Affine and projective planes;msc=51E15
51E20;51EXX;Combinatorial structures in finite projective spaces;msc=51E20
51E21;51EXX;Blocking sets, ovals, k-arcs;msc=51E21
51E22;51EXX;Linear codes and caps in Galois spaces;msc=51E22
51E23;51EXX;Spreads and packing problems;msc=51E23
51E24;51EXX;Buildings and the geometry of diagrams;msc=51E24
51E25;51EXX;Other finite nonlinear geometries;msc=51E25
51E26;51EXX;Other finite linear geometries;msc=51E26
51E30;51EXX;Other finite incidence structures;msc=51E30
51E99;51EXX;None of the above, but in this section;msc=51E99
51FXX;51-XX;Metric geometry;msc=51F?
51F05;51FXX;Absolute planes;msc=51F05
51F10;51FXX;Absolute spaces;msc=51F10
51F15;51FXX;Reflection groups, reflection geometries;msc=51F15
51F20;51FXX;Congruence and orthogonality;msc=51F20
51F25;51FXX;Orthogonal and unitary groups;msc=51F25
51F99;51FXX;None of the above, but in this section;msc=51F99
51G05;51-XX;Ordered geometries (ordered incidence structures, etc.);msc=51G05
51HXX;51-XX;Topological geometry;msc=51H?
51H05;51HXX;General theory;msc=51H05
51H10;51HXX;Topological linear incidence structures;msc=51H10
51H15;51HXX;Topological nonlinear incidence structures;msc=51H15
51H20;51HXX;Topological geometries on manifolds;msc=51H20
51H25;51HXX;Geometries with differentiable structure;msc=51H25
51H30;51HXX;Geometries with algebraic manifold structure;msc=51H30
51H99;51HXX;None of the above, but in this section;msc=51H99
51JXX;51-XX;Incidence groups;msc=51J?
51J05;51JXX;General theory;msc=51J05
51J10;51JXX;Projective incidence groups;msc=51J10
51J15;51JXX;Kinematic spaces;msc=51J15
51J20;51JXX;Representation by near-fields and near-algebras;msc=51J20
51J99;51JXX;None of the above, but in this section;msc=51J99
51KXX;51-XX;Distance geometry;msc=51K?
51K05;51KXX;General theory;msc=51K05
51K10;51KXX;Synthetic differential geometry;msc=51K10
51K99;51KXX;None of the above, but in this section;msc=51K99
51LXX;51-XX;Geometric order structures;msc=51L?
51L05;51LXX;Geometry of orders of nondifferentiable curves;msc=51L05
51L10;51LXX;Directly differentiable curves;msc=51L10
51L15;51LXX;n-vertex theorems via direct methods;msc=51L15
51L20;51LXX;Geometry of orders of surfaces;msc=51L20
51L99;51LXX;None of the above, but in this section;msc=51L99
